,Homotopy Exec Time,Multiscale Exec Time
0,21.50443434715271,26.266697883605957
1,21.521430253982544,26.662262678146362
2,22.48047661781311,25.751829624176025
3,21.775447130203247,25.184316635131836
4,21.402133226394653,25.30409026145935
5,23.80687141418457,25.733144760131836
6,21.97837805747986,25.58797025680542
7,21.784573554992676,25.370408296585083
8,22.331137895584106,25.64692735671997
9,22.40060257911682,25.636373281478882
10,21.801228284835815,25.527389764785767
11,21.637128591537476,26.08250093460083
12,21.73175358772278,26.095601558685303
13,21.63006901741028,25.655839920043945
14,21.567041873931885,26.441940546035767
15,21.606797218322754,25.497665882110596
16,21.664757251739502,25.306180715560913
17,21.327640771865845,25.729121208190918
18,21.448457717895508,26.51137900352478
19,21.598180532455444,26.205338716506958
20,21.366719007492065,26.381439208984375
21,21.620280027389526,25.37633204460144
22,21.206907272338867,25.232852458953857
23,21.423709869384766,25.3088698387146
24,21.213756322860718,25.4770188331604
25,22.118385076522827,25.321227550506592
26,22.57478427886963,25.575495719909668
27,21.70585799217224,25.58558678627014
28,22.097148418426514,26.20819616317749
29,22.24341654777527,25.204336643218994
30,22.124093770980835,25.870988607406616
31,22.458600997924805,26.96099066734314
32,21.46958351135254,25.619810342788696
33,21.71770215034485,25.822450399398804
34,22.36853528022766,25.897469997406006
35,22.870440006256104,25.235857009887695
36,21.957219123840332,25.445698022842407
37,22.730501890182495,25.58418869972229
38,21.83199191093445,26.459062337875366
39,21.39422297477722,25.59260869026184
40,22.492007970809937,26.17728066444397
41,22.528513431549072,26.00491189956665
42,21.34871768951416,25.750577926635742
43,21.4457905292511,26.884146451950073
44,21.48512363433838,26.00918698310852
45,21.668426990509033,25.963820219039917
46,21.973602056503296,27.015345811843872
47,23.304325342178345,25.62006449699402
48,21.545243978500366,25.555532455444336
49,21.883681535720825,26.432998180389404
