,GN,N
0,0.03167080879211426,0.017181873321533203
1,0.024299144744873047,0.01585841178894043
2,0.014346599578857422,0.016178369522094727
3,0.013202905654907227,0.015830516815185547
4,0.013482093811035156,0.01594686508178711
5,0.013066291809082031,0.017278671264648438
6,0.013130664825439453,0.015949726104736328
7,0.013416528701782227,0.016115903854370117
8,0.01297307014465332,0.015981435775756836
9,0.013276100158691406,0.015878677368164062
10,0.013032197952270508,0.01600813865661621
11,0.013186216354370117,0.01587080955505371
12,0.013710498809814453,0.016130924224853516
13,0.013028621673583984,0.015933513641357422
14,0.013764619827270508,0.015964984893798828
15,0.013390779495239258,0.01599574089050293
16,0.013423442840576172,0.01583099365234375
17,0.013274908065795898,0.016571521759033203
18,0.013212442398071289,0.016167879104614258
19,0.013198375701904297,0.015918731689453125
20,0.01319122314453125,0.016102313995361328
21,0.012920141220092773,0.01582932472229004
22,0.013015985488891602,0.016077041625976562
23,0.013146400451660156,0.01585984230041504
24,0.013142108917236328,0.015802860260009766
25,0.012881040573120117,0.016122817993164062
26,0.012873411178588867,0.015817880630493164
27,0.012970209121704102,0.016077518463134766
28,0.012895584106445312,0.01592111587524414
29,0.012949466705322266,0.016217708587646484
30,0.012949943542480469,0.017161846160888672
31,0.012864828109741211,0.015944957733154297
32,0.012844085693359375,0.016591310501098633
33,0.013126850128173828,0.016060352325439453
34,0.012930631637573242,0.01587224006652832
35,0.012858867645263672,0.01615118980407715
36,0.013027191162109375,0.015851974487304688
37,0.013027667999267578,0.016396760940551758
38,0.012902259826660156,0.01587986946105957
39,0.013024330139160156,0.015839576721191406
40,0.013037681579589844,0.016059398651123047
41,0.013050079345703125,0.01582622528076172
42,0.013063192367553711,0.016022920608520508
43,0.013478755950927734,0.015851259231567383
44,0.01324462890625,0.015822410583496094
45,0.013105392456054688,0.016744375228881836
46,0.01299738883972168,0.015911340713500977
47,0.013070821762084961,0.016074419021606445
48,0.013030767440795898,0.01590752601623535
49,0.013069391250610352,0.01582479476928711
50,0.01313471794128418,0.01610088348388672
51,0.012999773025512695,0.015838146209716797
52,0.012974262237548828,0.01601099967956543
53,0.01305699348449707,0.015827178955078125
54,0.012957096099853516,0.015865802764892578
55,0.012978553771972656,0.01596665382385254
56,0.01313018798828125,0.01583695411682129
57,0.012981653213500977,0.016399383544921875
58,0.01293182373046875,0.01614236831665039
59,0.013157367706298828,0.015857219696044922
60,0.01294565200805664,0.01607990264892578
61,0.012914657592773438,0.015860795974731445
62,0.013149261474609375,0.01598215103149414
63,0.012978315353393555,0.015896320343017578
64,0.013012170791625977,0.015797853469848633
65,0.013012170791625977,0.01602482795715332
66,0.012885570526123047,0.01590418815612793
67,0.012895584106445312,0.016527175903320312
68,0.013110160827636719,0.017237186431884766
69,0.013029098510742188,0.016060352325439453
70,0.012918710708618164,0.01606917381286621
71,0.012981414794921875,0.015967607498168945
72,0.01302337646484375,0.016253948211669922
73,0.012901067733764648,0.01609182357788086
74,0.013043642044067383,0.015842437744140625
75,0.01291036605834961,0.01604604721069336
76,0.01290750503540039,0.015891313552856445
77,0.012883424758911133,0.015856027603149414
78,0.012922048568725586,0.016054868698120117
79,0.012926578521728516,0.015892744064331055
80,0.012995004653930664,0.01643061637878418
81,0.01306295394897461,0.016186952590942383
82,0.012902259826660156,0.015910863876342773
83,0.012941837310791016,0.016094207763671875
84,0.01302480697631836,0.01581740379333496
85,0.012941122055053711,0.016044139862060547
86,0.01288914680480957,0.015886306762695312
87,0.01309061050415039,0.015809059143066406
